ChEMBL ID,Name,SMILES
CHEMBL296092,TIBO,CC(C)=CCN1Cc2cc(Cl)cc3nc(S)n(c23)CC1C
CHEMBL1077108,FUROSPONGOLIDE,C/C(=C\CCc1ccoc1)CC/C=C(\C)CCCC1=CC(=O)OC1
CHEMBL1080770,USTUSOLATE A,C/C=C/C=C/C=C/C(=O)OC1C=C[C@@](O)(CO)[C@@]2(C)CCCC(C)(C)[C@H]12
CHEMBL1097089,SCLEROPHYTIN B,C=C1CC[C@H](C(C)C)[C@@H]2[C@H]1[C@H]1C[C@](C)(O)[C@@H](O)CC[C@@](C)(OC(C)=O)[C@@H]2O1
CHEMBL52347,"1,2-NAPHTHOQUINONE",O=C1C=Cc2ccccc2C1=O
CHEMBL590754,FILAMINAST,COc1ccc(/C(C)=N/OC(N)=O)cc1OC1CCCC1
CHEMBL276815,(S)-AMPA,Cc1onc(O)c1C[C@H](N)C(=O)O
CHEMBL4297670,BUNITROLOL HYDROCHLORIDE,CC(C)(C)NCC(O)COc1ccccc1C#N.Cl
CHEMBL1562,HOMOVANILLIC ACID,COc1cc(CC(=O)O)ccc1O
CHEMBL1812772,Ubiquinone Qo,COC1=C(OC)C(=O)C(C)=CC1=O
CHEMBL58711,TIVIRAPINE,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C
CHEMBL356362,ISOPENTENYLPYROPHOSPHATE,C=C(C)CCOP(=O)(O)OP(=O)(O)O
CHEMBL1872101,PARGEVERINE,C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1
CHEMBL1205554,MENAPHTHYL SULFONATE,O=S(=O)(O)Cc1ccc2ccccc2c1
